This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      850
Number of nonzeros in inequality constraint Jacobian.:      417
Number of nonzeros in Lagrangian Hessian.............:     1309

Total number of variables............................:      355
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      314
                     variables with only upper bounds:        0
Total number of equality constraints.................:      205
Total number of inequality constraints...............:      158
        inequality constraints with only lower bounds:      116
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 166  3.5071161e+01 1.56e-06 5.08e-02  -5.7 7.37e-01    -  1.00e+00 1.00e+00f  1
 167  3.5094321e+01 1.55e-06 4.89e-02  -5.7 4.08e-03    -  1.00e+00 1.00e+00h  1
 168  3.5121612e+01 1.53e-06 4.74e-02  -5.7 7.94e-03    -  1.00e+00 1.00e+00h  1
 169  3.5143732e+01 1.52e-06 4.58e-02  -5.7 3.96e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  3.5165488e+01 1.51e-06 4.42e-02  -5.7 3.90e-03    -  1.00e+00 1.00e+00h  1
 171  3.5186870e+01 1.49e-06 4.27e-02  -5.7 3.85e-03    -  1.00e+00 1.00e+00h  1
 172  3.5207888e+01 1.48e-06 4.13e-02  -5.7 3.79e-03    -  1.00e+00 1.00e+00h  1
 173  3.5228553e+01 1.47e-06 4.00e-02  -5.7 3.74e-03    -  1.00e+00 1.00e+00h  1
 174  3.5248876e+01 1.46e-06 3.87e-02  -5.7 3.69e-03    -  1.00e+00 1.00e+00h  1
 175  3.5268866e+01 1.44e-06 3.75e-02  -5.7 3.64e-03    -  1.00e+00 1.00e+00h  1
 176  3.5288538e+01 1.43e-06 3.63e-02  -5.7 3.59e-03    -  1.00e+00 1.00e+00h  1
 177  3.5307913e+01 1.42e-06 3.52e-02  -5.7 3.55e-03    -  1.00e+00 1.00e+00h  1
 178  3.5327092e+01 1.41e-06 6.34e+02  -5.7 3.50e-03    -  8.34e-01 1.00e+00h  1
 179  3.5424075e+01 1.40e-06 3.48e-02  -5.7 7.64e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  3.5404261e+01 1.39e-06 3.29e-02  -5.7 3.92e-02    -  1.00e+00 1.00e+00f  1
 181  3.5423284e+01 1.38e-06 3.19e-02  -5.7 3.34e-03    -  1.00e+00 1.00e+00h  1
 182  3.5453718e+01 1.37e-06 3.12e-02  -5.7 1.14e-02    -  1.00e+00 1.00e+00h  1
 183  3.5473075e+01 1.36e-06 3.03e-02  -5.7 3.25e-03    -  1.00e+00 1.00e+00h  1
 184  3.5492203e+01 1.35e-06 2.87e+02  -5.7 3.21e-03    -  9.22e-01 1.00e+00h  1
 185  3.5572648e+01 1.34e-06 2.87e-02  -5.7 6.07e-02    -  1.00e+00 1.00e+00h  1
 186  3.5559837e+01 1.33e-06 2.78e-02  -5.7 3.18e-02    -  1.00e+00 1.00e+00f  1
 187  3.5578101e+01 1.32e-06 2.71e-02  -5.7 3.10e-03    -  1.00e+00 1.00e+00h  1
 188  3.5606801e+01 1.32e-06 2.63e-02  -5.7 1.01e-02    -  1.00e+00 1.00e+00h  1
 189  3.5625784e+01 1.31e-06 2.56e-02  -5.7 3.02e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  3.5644128e+01 1.30e-06 2.49e-02  -5.7 2.99e-03    -  1.00e+00 1.00e+00h  1
 191  3.5662301e+01 1.29e-06 2.43e-02  -5.7 2.95e-03    -  1.00e+00 1.00e+00h  1
 192  3.5680241e+01 1.28e-06 2.36e-02  -5.7 2.92e-03    -  1.00e+00 1.00e+00h  1
 193  3.5697951e+01 1.28e-06 2.30e-02  -5.7 2.89e-03    -  1.00e+00 1.00e+00h  1
 194  3.5715436e+01 1.27e-06 2.24e-02  -5.7 2.85e-03    -  1.00e+00 1.00e+00h  1
 195  3.5732702e+01 1.26e-06 2.18e-02  -5.7 2.82e-03    -  1.00e+00 1.00e+00h  1
 196  3.5749752e+01 1.25e-06 2.13e-02  -5.7 2.79e-03    -  1.00e+00 1.00e+00h  1
 197  3.5766591e+01 1.25e-06 2.07e-02  -5.7 2.76e-03    -  1.00e+00 1.00e+00h  1
 198  3.5783223e+01 1.24e-06 2.02e-02  -5.7 2.73e-03    -  1.00e+00 1.00e+00h  1
 199  3.5799652e+01 1.23e-06 1.97e-02  -5.7 2.70e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  3.5815882e+01 1.23e-06 1.92e-02  -5.7 2.67e-03    -  1.00e+00 1.00e+00h  1
 201  3.5831917e+01 1.22e-06 1.88e-02  -5.7 2.64e-03    -  1.00e+00 1.00e+00h  1
 202  3.5847760e+01 1.22e-06 1.83e-02  -5.7 2.61e-03    -  1.00e+00 1.00e+00h  1
 203  3.5863416e+01 1.21e-06 1.79e-02  -5.7 2.59e-03    -  1.00e+00 1.00e+00h  1
 204  3.5878887e+01 1.20e-06 1.74e-02  -5.7 2.56e-03    -  1.00e+00 1.00e+00h  1
 205  3.5894178e+01 1.20e-06 1.70e-02  -5.7 2.53e-03    -  1.00e+00 1.00e+00h  1
